name,currency,capital,languages,latitude,longitude,area,subregion,borders,GDP,GDP Growth,Interest Rate,Inflation Rate,Jobless Rate,Gov. Budget,Debt/GDP,Current Account,Population,region_Americas,region_Asia,region_Europe,region_Oceania
Tunisia,Tunisian dinar,Tunis,Arabic,0.7075471698113207,0.3963365647260458,0.009568702988809028,Northern Africa,"['DZA', 'LBY']",0.0017475927766165235,0.6028368794326242,0.12662502110417018,0.07951408061844284,0.4712990936555891,0.2806122448979592,0.28735632183908044,0.45786963434022254,0.008416432285008097,False,False,False,False
Vietnam,Vietnamese đồng,Hanoi,Vietnamese,0.5393081760377358,0.7492308333065538,0.019370998441209153,South-Eastern Asia,"['KHM', 'CHN', 'LAO']",0.016242332865024158,0.7229314420803783,0.07597501266250212,0.06786305908337935,0.06465256797583081,0.3469387755102041,0.11345939933259176,0.5977742448330683,0.07191965680843206,False,True,False,False
Ecuador,United States dollar,Quito,Spanish,0.36792452830188677,0.0874796922143074,0.016191080504415752,South America,"['COL', 'PER']",0.004214782578898674,0.642080378250591,0.14350835725139288,0.054224185532854775,0.13293051359516614,0.4005102040816327,0.17908787541713014,0.5453100158982511,0.012734736782294951,True,False,False,False
Puerto Rico,United States dollar,San Juan,English,0.5589622641509433,0.12675628871869032,0.000518648703631074,Caribbean,"['CHN', 'IND']",0.00424904910393037,0.5768321513002365,0.08863751477291913,0.05687465488680287,0.16918429003021146,0.36798469387755106,0.1950315164998146,0.48489666136724957,0.002244381942668826,True,False,False,False
United States,United States dollar,"Washington, D.C.",English,0.7452830188679245,0.01785299841108312,0.5481621494939387,North America,"['CAN', 'MEX']",1.0,0.6312056737588653,0.07597501266250212,0.06515737161789067,0.12386706948640483,0.2857142857142857,0.45235446792732664,0.4387917329093799,0.2422725077416972,True,False,False,False
Israel,Israeli new shekel,Jerusalem,Arabic,0.6836792452830188,0.4896363344223663,0.0012146267700238467,Western Asia,"['EGY', 'JOR', 'LBN', 'PSE', 'SYR']",0.018435390467052736,0.5815602836879433,0.07597501266250212,0.06736609607951408,0.08761329305135951,0.2755102040816327,0.24731182795698925,0.5516693163751987,0.007052757180601723,False,True,False,False
United Kingdom,British pound,London,English,0.8962264150943395,0.35705996822166286,0.014206022390849612,Northern Europe,['IRL'],0.1247986841654388,0.5673758865248227,0.06753334458889076,0.07123136388735504,0.1389728096676737,0.326530612244898,0.3470522803114572,0.45786963434022254,0.04914202108014433,False,False,True,False
Myanmar,Burmese kyat,Naypyidaw,Burmese,0.5943396226415094,0.7141199364433257,0.03956991952337775,South-Eastern Asia,"['BGD', 'CHN', 'IND', 'LAO', 'THA']",0.0024671898022821507,0.5768321513002365,0.15195002532500423,0.20806184428492547,0.08761329305135951,0.3035714285714286,0.21876158694846123,0.4133545310015898,0.03868007613852666,False,True,False,False
Poland,Polish złoty,Warsaw,Polish,0.8773584905660377,0.4356131612304287,0.018287085709742155,Central Europe,"['BLR', 'CZE', 'DEU', 'LTU', 'RUS', 'SVK', 'UKR']",0.03128533735393894,0.5791962174940899,0.08441668073611346,0.06736609607951408,0.1540785498489426,0.2806122448979592,0.19651464590285503,0.5007949125596184,0.025895622034716896,False,False,True,False
Afghanistan,Afghan afghani,Kabul,Dari,0.6981132075471698,0.5962901469301769,0.03814591330820706,Southern Asia,"['IRN', 'PAK', 'TKM', 'UZB', 'TJK', 'CHN']",0.0005139978754754481,0.5768321513002365,0.252237042039507,0.05135284373274434,0.3987915407854985,0.326530612244898,0.022246941045606233,0.2257551669316375,0.025327424074547574,False,True,False,False
